start_station_name,trip_count,latitude,longitude
Stockton Dr & Wrightwood Ave,7060,41.93132,-87.63874200000002
Theater on the Lake,38667,41.926277,-87.630834
Wabash Ave & Cermak Rd,3005,41.852619,-87.626488
Wabash Ave & Grand Ave,19904,41.891466,-87.626761
Wabash Ave & Roosevelt Rd,16141,41.867227,-87.625961
Wabash Ave & Wacker Pl,6703,41.886875,-87.62603
Wells St & 19th St,1378,41.856802,-87.63387900000002
Wells St & Concord Ln,19474,41.912133,-87.634656
Wells St & Evergreen Ave,11409,41.906724,-87.63483000000002
Wells St & Hubbard St,13165,41.889906,-87.634266
Wells St & Polk St,7444,41.872596,-87.63350200000002
Wells St & Walton St,7869,41.89993001,-87.63443007
Wentworth Ave & 24th St,1331,41.849237,-87.631715
Western Ave & 21st St,1083,41.854109,-87.685838
Western Ave & 24th St,498,41.84847,-87.685109
Western Ave & Division St,4109,41.902893,-87.687275
Western Ave & Leland Ave,3867,41.966555,-87.688487
Western Ave & Winnebago Ave,5085,41.91552,-87.687022
Wilton Ave & Belmont Ave,14785,41.94018,-87.65304
Wilton Ave & Diversey Pkwy,8842,41.932418,-87.65270500000003
Wolcott Ave & Polk St,5407,41.871262,-87.673688
Wood St & Milwaukee Ave,8709,41.907655,-87.672552
Wood St & Taylor St,3946,41.869154,-87.67104499999998
Woodlawn Ave & 55th St,2268,41.795264,-87.596471
10th & Monroe St NE,2328,38.93251400000001,-76.992889
10th & U St NW,16737,38.9172,-77.0259
10th St & Constitution Ave NW,16500,38.893028,-77.026013
11th & F St NW,22,38.897857,-77.026975
11th & H St NE,214,38.899983,-76.991383
11th & Kenyon St NW,13364,38.929464,-77.027822
11th & M St NW,1,38.905607,-77.027137
12th & Newton St NE,1008,38.933668,-76.991016
13th & D St NE,10550,38.894832,-76.987633
13th & H St NE,11004,38.900022,-76.988422
13th St & New York Ave NW,14534,38.900283,-77.029822
14th & D St NW / Ronald Reagan Building,9493,38.894514,-77.031617
14th & G St NW,13678,38.898409,-77.032278
14th & Harvard St NW,17507,38.9268,-77.0322
14th & R St NW,16001,38.912681,-77.032523
