start_station_name,trip_count,latitude,longitude
Cottage Grove Ave & 63rd St,717,41.780599015,-87.60611238799999
Cottage Grove Ave & 67th St,250,41.773720952,-87.60563486
Cottage Grove Ave & 71st St,63,41.765719037,-87.60495971299999
Cottage Grove Ave & 78th St,126,41.753174,-87.605026
Cottage Grove Ave & 83rd St,146,41.744053,-87.604786
Cottage Grove Ave & Oakwood Blvd,1002,41.822985,-87.6071
Daley Center Plaza,33968,41.884241,-87.629634
Damen Ave & 51st St,59,41.800908,-87.674684
Damen Ave & 59th St,31,41.78602,-87.67416700000003
Damen Ave & Charleston St,4106,41.920082,-87.67785500000002
Damen Ave & Chicago Ave,9847,41.895769,-87.67721999999998
Damen Ave & Clybourn Ave,3393,41.931931,-87.677856
Damen Ave & Cortland St,8666,41.915983,-87.677335
Damen Ave & Coulter St,394,41.8492,-87.67564
Damen Ave & Cullerton St,1811,41.855048,-87.675726
Damen Ave & Division St,6772,41.903266,-87.678435
Damen Ave & Foster Ave,3375,41.975614805,-87.679459039
Damen Ave & Grand Ave,5287,41.89122,-87.67685999999998
Damen Ave & Leland Ave,5528,41.967094,-87.679028
Damen Ave & Madison St,2531,41.88137,-87.67493
Damen Ave & Melrose Ave,2818,41.9406,-87.6785
Damen Ave & Pershing Rd,200,41.823192,-87.676597
Damen Ave & Pierce Ave,18413,41.909396007,-87.67769192899998
Damen Ave & Sunnyside Ave,2254,41.96325,-87.67925799999998
Damen Ave & Thomas St (Augusta Blvd),6685,41.901315,-87.677409
Damen Ave & Walnut (Lake) St (*),117,41.885951,-87.677009
Damen Ave & Wellington Ave,3325,41.93588,-87.67841999999997
Dayton St & North Ave,10077,41.910578035,-87.649421929
Dearborn Pkwy & Delaware Pl,16553,41.898969,-87.629912
Dearborn St & Adams St,12069,41.879356359,-87.629791036
Dearborn St & Erie St,23829,41.893992,-87.62931800000001
Dearborn St & Monroe St,20477,41.881319815,-87.629520919
Dearborn St & Van Buren St (*),5046,41.876268,-87.62915500000003
Delano Ct & Roosevelt Rd,6474,41.867491,-87.63219000000002
Desplaines St & Jackson Blvd,14218,41.878287,-87.643909
Desplaines St & Kinzie St,19112,41.888716036,-87.64444785299999
Desplaines St & Randolph St,11277,41.88461619,-87.644570585
Dodge Ave & Church St,751,42.048308,-87.698224
Dodge Ave & Mulford St,46,42.023463,-87.699595
Dorchester Ave & 49th St,760,41.805772,-87.592464
Dorchester Ave & 63rd St,463,41.780405646,-87.591415989
Drake Ave & Addison St,1528,41.947326,-87.717582
Drake Ave & Fullerton Ave,2080,41.924398819000004,-87.715441036
Drake Ave & Montrose Ave,1373,41.961154076,-87.71656907299999
DuSable Museum,582,41.791568011,-87.60785217700001
Dusable Harbor,13515,41.886976,-87.612813
Eastlake Ter & Rogers Ave,2168,42.021019,-87.665086
Eberhart (Vernon) Ave & 79th St,60,41.751345,-87.61256800000002
Eberhart Ave & 61st St,210,41.784141693,-87.61330783
Eckhart Park,7049,41.89637337,-87.66098386
Eggleston Ave & 69th St (*),15,41.768898,-87.635876
Elizabeth St & 47th St,156,41.80839,-87.656526
Ellis Ave & 53rd St,4179,41.799336263,-87.600958115
Ellis Ave & 55th St,7944,41.794300621,-87.601449773
Ellis Ave & 58th St,6008,41.788746,-87.601334
Ellis Ave & 60th St,7898,41.785097146,-87.601072761
Ellis Ave & 83rd St,37,41.744123,-87.599034
Elmwood Ave & Austin St,762,42.025784,-87.684107
Elston Ave & Wabansia Ave,2598,41.912919,-87.664169
Emerald Ave & 28th St,1740,41.84358,-87.645368
Emerald Ave & 31st St,2868,41.838198,-87.645143
Evans Ave & 75th St,350,41.758308,-87.606685
Evanston Civic Center,25,42.057044,-87.686554
Exchange Ave & 79th St,311,41.751731,-87.552812
Fairbanks Ct & Grand Ave,21593,41.89186,-87.62062
Fairbanks St & Superior St (*),1346,41.895748,-87.620104
Fairfield Ave & Roosevelt Rd,450,41.866624,-87.694521
Federal St & Polk St,12174,41.872077633,-87.629543773
Field Blvd & South Water St,10590,41.886349063000004,-87.61751654700001
Field Museum,9184,41.865312,-87.617867
Fort Dearborn Dr & 31st St,7305,41.838556,-87.60821800000002
Francisco Ave & Foster Ave,1412,41.975632725,-87.70141943899998
Franklin St & Chicago Ave,14189,41.896776,-87.635633
Franklin St & Jackson Blvd,19477,41.877707956,-87.635321141
Franklin St & Lake St,16090,41.885837,-87.6355
Franklin St & Monroe St,33125,41.880317,-87.63518499999998
Franklin St & Quincy St,12987,41.878724,-87.634793
Glenwood Ave & Morse Ave,3816,42.007971923,-87.665502394
Glenwood Ave & Touhy Ave,841,42.012701,-87.66605799999998
Green St & Madison St,16259,41.881892,-87.64878900000002
Green St & Randolph St,14206,41.883668,-87.64867
Greenview Ave & Diversey Pkwy,3689,41.932595,-87.665939
Greenview Ave & Fullerton Ave,6421,41.92533,-87.6658
Greenview Ave & Jarvis Ave,1939,42.015962,-87.66856999999997
Greenwood Ave & 47th St,1353,41.809835,-87.59938299999997
Greenwood Ave & 79th St,45,41.751294,-87.59755200000002
Halsted St & 18th St,2322,41.857499,-87.646277
Halsted St & 21st St,1384,41.85378,-87.64665
Halsted St & 35th St (*),1212,41.830661,-87.647172
Halsted St & 37th St,532,41.82705900000001,-87.64572
Halsted St & 47th Pl,240,41.808133915,-87.645616554
Halsted St & 51st St,48,41.80183164,-87.645213904
Halsted St & 56th St,66,41.792929646,-87.644990057
Halsted St & 59th St,32,41.787539,-87.644874
Halsted St & 63rd St,384,41.779381142,-87.644620815
Halsted St & 69th St,173,41.76906172,-87.64461357799999
Halsted St & Archer Ave,1553,41.847203,-87.646795
Halsted St & Clybourn Ave (*),13469,41.909668,-87.648128
Halsted St & Dickens Ave,8997,41.919936,-87.64883
Halsted St & Maxwell St,6381,41.864883,-87.647071
